lat,lon
40.8908577,-72.37718964
40.89133072,-72.37143707
40.87852478,-72.37378693
40.88593674,-72.37104034
40.8819046,-72.38604736
40.88072968,-72.38555145
40.89305878,-72.37968445
40.88915253,-72.38864899
40.89285278,-72.37423706
40.89414215,-72.38860321
40.87614822,-72.37466431
40.87950897,-72.38422394
40.89328384,-72.37392426
40.89268494,-72.38981628
40.89173126,-72.3846283
40.88723373,-72.38124847
40.89474869,-72.37311554
40.88871384,-72.37272644
40.87710953,-72.38350677
40.88470078,-72.37380981
40.88887405,-72.37124634
40.89361954,-72.37096405
40.8913269,-72.37555695
40.88150024,-72.37706757
40.87620926,-72.38585663
40.8905983,-72.38865662
40.88017654,-72.38967133
40.8802681,-72.38217163
40.87843704,-72.38270569
40.8914032,-72.3888855
40.89421463,-72.38362122
40.87817001,-72.38526154
40.8825531,-72.3884964
40.87796402,-72.38128662
40.87623978,-72.37654877
40.89062881,-72.37664032
40.87913132,-72.37162781
40.89277267,-72.38398743
40.88204956,-72.37400818
40.87520599,-72.38160706
40.88470459,-72.38211823
40.8764267,-72.37519073
40.88615799,-72.37980652
40.87701416,-72.38957214
40.89285278,-72.37916565
40.87986374,-72.38465118
40.89255524,-72.37756348
40.88509369,-72.376297
40.88555145,-72.37036133
40.87864685,-72.385849
40.87776184,-72.3804245
40.8899498,-72.38074493
40.89493179,-72.38330078
40.8826828,-72.37895966
40.89300919,-72.38433075
40.88525391,-72.38240051
40.87784195,-72.38392639
40.88911057,-72.38227081
40.87895584,-72.38777161
40.8769455,-72.37940979
40.88170624,-72.38695526
40.88923645,-72.38883972
40.87775803,-72.37329865
40.88887787,-72.38880157
40.88620758,-72.3771286
40.8923912,-72.37736511
40.89080048,-72.3883667
40.8910408,-72.38499451
40.88597107,-72.38951111
40.88085175,-72.38198853
40.88434219,-72.38011932
40.8936615,-72.37738037
40.88544846,-72.37400055
